----------------------------------------------------
       Curve Parameters       | Order | Generator  
  a = 39   b = 66   p = 79    | 90    |  (6, 11)   
  a = 40   b = 66   p = 79    | 84    |  (11, 40)  
  a = 41   b = 66   p = 79    | 64    | Not Cyclic 
  a = 42   b = 66   p = 79    | 86    |  (8, 19)   
  a = 43   b = 66   p = 79    | 64    | Not Cyclic 
  a = 44   b = 66   p = 79    | 75    |   (2, 2)   
  a = 45   b = 66   p = 79    | 67    |  (4, 51)   
  a = 46   b = 66   p = 79    | 66    |  (3, 51)   
  a = 47   b = 66   p = 79    | 88    |  (2, 22)   
  a = 48   b = 66   p = 79    | 76    | Not Cyclic 
  a = 49   b = 66   p = 79    | 83    |  (4, 22)   
  a = 50   b = 66   p = 79    | 75    |  (5, 21)   
  a = 51   b = 66   p = 79    | 84    |  (4, 52)   
  a = 52   b = 66   p = 79    | 79    |  (1, 44)   
  a = 53   b = 66   p = 79    | 69    |  (2, 38)   
  a = 54   b = 66   p = 79    | 88    |  (1, 11)   
  a = 55   b = 66   p = 79    | 76    |  (2, 42)   
  a = 56   b = 66   p = 79    | 71    |  (1, 26)   
  a = 57   b = 66   p = 79    | 88    |  (1, 19)   
  a = 58   b = 66   p = 79    | 84    |  (15, 19)  
  a = 59   b = 66   p = 79    | 78    |  (16, 45)  
  a = 60   b = 66   p = 79    | 75    |  (2, 73)   
  a = 61   b = 66   p = 79    | 75    |  (2, 65)   
  a = 63   b = 66   p = 79    | 95    |  (3, 19)   
  a = 64   b = 66   p = 79    | 75    |  (2, 26)   
  a = 65   b = 66   p = 79    | 70    |  (2, 21)   
  a = 66   b = 66   p = 79    | 72    | Not Cyclic 
  a = 67   b = 66   p = 79    | 84    |  (1, 23)   
  a = 68   b = 66   p = 79    | 95    |  (2, 62)   
  a = 69   b = 66   p = 79    | 84    |  (5, 46)   
  a = 70   b = 66   p = 79    | 84    |  (20, 67)  
  a = 71   b = 66   p = 79    | 69    |  (4, 16)   
  a = 72   b = 66   p = 79    | 80    |  (7, 26)   
  a = 73   b = 66   p = 79    | 70    |  (2, 46)   
  a = 74   b = 66   p = 79    | 64    | Not Cyclic 
  a = 75   b = 66   p = 79    | 72    | Not Cyclic 
  a = 76   b = 66   p = 79    | 80    |  (3, 20)   
  a = 77   b = 66   p = 79    | 76    | Not Cyclic 
  a = 78   b = 66   p = 79    | 71    |  (2, 25)   
  a = 0    b = 67   p = 79    | 84    | Not Cyclic 
  a = 1    b = 67   p = 79    | 66    |  (7, 38)   
  a = 2    b = 67   p = 79    | 70    |  (0, 64)   
  a = 3    b = 67   p = 79    | 84    |  (8, 45)   
  a = 4    b = 67   p = 79    | 84    |  (0, 64)   
  a = 5    b = 67   p = 79    | 75    |  (4, 25)   
  a = 6    b = 67   p = 79    | 87    |  (0, 64)   
  a = 7    b = 67   p = 79    | 84    |   (4, 1)   
  a = 8    b = 67   p = 79    | 70    |  (1, 32)   
  a = 9    b = 67   p = 79    | 88    |  (0, 64)   
  a = 10   b = 67   p = 79    | 76    |  (3, 19)   
  a = 11   b = 67   p = 79    | 68    | Not Cyclic 
  a = 12   b = 67   p = 79    | 77    |   (1, 1)   
  a = 13   b = 67   p = 79    | 84    |  (0, 64)   
  a = 14   b = 67   p = 79    | 87    |  (0, 64)   
  a = 15   b = 67   p = 79    | 96    |   (1, 2)   
  a = 16   b = 67   p = 79    | 68    | Not Cyclic 
  a = 17   b = 67   p = 79    | 76    | Not Cyclic 
  a = 18   b = 67   p = 79    | 86    |  (0, 64)   
  a = 19   b = 67   p = 79    | 86    |  (0, 64)   
  a = 20   b = 67   p = 79    | 72    |  (1, 76)   
  a = 21   b = 67   p = 79    | 88    |  (0, 64)   
  a = 22   b = 67   p = 79    | 81    |  (0, 64)   
  a = 23   b = 67   p = 79    | 66    |  (3, 20)   
  a = 24   b = 67   p = 79    | 88    |  (0, 64)   
  a = 25   b = 67   p = 79    | 81    |  (0, 64)   
  a = 26   b = 67   p = 79    | 70    |  (8, 32)   
  a = 27   b = 67   p = 79    | 94    |  (0, 64)   
  a = 28   b = 67   p = 79    | 77    |  (2, 62)   
  a = 29   b = 67   p = 79    | 96    |  (3, 55)   
  a = 30   b = 67   p = 79    | 73    |  (0, 64)   
  a = 31   b = 67   p = 79    | 70    |  (0, 64)   
  a = 32   b = 67   p = 79    | 81    |  (0, 64)   
  a = 33   b = 67   p = 79    | 78    |  (0, 64)   
  a = 34   b = 67   p = 79    | 92    |   (2, 8)   
  a = 35   b = 67   p = 79    | 96    |  (7, 55)   
  a = 36   b = 67   p = 79    | 75    |   (1, 5)   
  a = 37   b = 67   p = 79    | 86    |  (1, 42)   
  a = 38   b = 67   p = 79    | 75    |  (7, 26)   
  a = 39   b = 67   p = 79    | 77    |  (7, 50)   
  a = 40   b = 67   p = 79    | 91    |  (0, 64)   
  a = 41   b = 67   p = 79    | 80    | Not Cyclic 
  a = 42   b = 67   p = 79    | 86    |  (0, 64)   
  a = 43   b = 67   p = 79    | 80    | Not Cyclic 
  a = 44   b = 67   p = 79    | 86    |  (6, 51)   
  a = 45   b = 67   p = 79    | 70    |  (5, 38)   
  a = 46   b = 67   p = 79    | 70    |  (0, 64)   
  a = 47   b = 67   p = 79    | 81    | Not Cyclic 
  a = 48   b = 67   p = 79    | 78    |  (0, 64)   
  a = 49   b = 67   p = 79    | 88    |  (0, 64)   
  a = 50   b = 67   p = 79    | 86    |  (8, 49)   
  a = 51   b = 67   p = 79    | 91    |  (0, 64)   
  a = 52   b = 67   p = 79    | 68    | Not Cyclic 
  a = 53   b = 67   p = 79    | 92    |  (9, 76)   
  a = 54   b = 67   p = 79    | 81    | Not Cyclic 
  a = 55   b = 67   p = 79    | 66    |  (3, 38)   
  a = 56   b = 67   p = 79    | 88    |  (0, 64)   
  a = 57   b = 67   p = 79    | 81    | Not Cyclic 
  a = 58   b = 67   p = 79    | 73    |  (0, 64)   
  a = 59   b = 67   p = 79    | 87    |  (0, 64)   
  a = 60   b = 67   p = 79    | 86    |  (8, 36)   
  a = 61   b = 67   p = 79    | 86    |  (1, 45)   
  a = 62   b = 67   p = 79    | 84    |  (0, 64)   
  a = 63   b = 67   p = 79    | 94    |  (0, 64)   
  a = 64   b = 67   p = 79    | 86    |  (5, 65)   
  a = 65   b = 67   p = 79    | 72    |  (3, 62)   
  a = 66   b = 67   p = 79    | 76    | Not Cyclic 
  a = 67   b = 67   p = 79    | 91    |  (0, 64)   
  a = 68   b = 67   p = 79    | 94    |  (0, 64)   
  a = 69   b = 67   p = 79    | 84    |  (10, 16)  
  a = 70   b = 67   p = 79    | 73    |  (0, 64)   
  a = 71   b = 67   p = 79    | 92    |  (4, 40)   
  a = 72   b = 67   p = 79    | 76    |  (3, 51)   
  a = 73   b = 67   p = 79    | 72    |  (1, 46)   
  a = 74   b = 67   p = 79    | 80    | Not Cyclic 
  a = 75   b = 67   p = 79    | 76    | Not Cyclic 
  a = 76   b = 67   p = 79    | 76    |  (4, 44)   
  a = 77   b = 67   p = 79    | 78    |  (0, 64)   
  a = 78   b = 67   p = 79    | 88    |  (0, 64)   
  a = 0    b = 68   p = 79    | 67    |  (2, 32)   
  a = 1    b = 68   p = 79    | 68    |  (10, 50)  
  a = 2    b = 68   p = 79    | 80    | Not Cyclic 
  a = 3    b = 68   p = 79    | 81    |  (1, 25)   
  a = 4    b = 68   p = 79    | 89    |  (1, 51)   
  a = 5    b = 68   p = 79    | 72    | Not Cyclic 
  a = 6    b = 68   p = 79    | 80    |  (2, 76)   
  a = 7    b = 68   p = 79    | 81    |  (1, 32)   
  a = 8    b = 68   p = 79    | 70    |  (7, 25)   
  a = 9    b = 68   p = 79    | 70    |   (5, 1)   
  a = 10   b = 68   p = 79    | 72    | Not Cyclic 
  a = 11   b = 68   p = 79    | 97    |   (1, 1)   
  a = 12   b = 68   p = 79    | 82    |   (1, 9)   
  a = 13   b = 68   p = 79    | 89    |  (2, 55)   
  a = 14   b = 68   p = 79    | 80    |   (1, 2)   
  a = 15   b = 68   p = 79    | 90    | Not Cyclic 
  a = 16   b = 68   p = 79    | 97    |   (3, 8)   
  a = 17   b = 68   p = 79    | 88    |  (12, 5)   
  a = 18   b = 68   p = 79    | 94    |  (4, 21)   
  a = 19   b = 68   p = 79    | 94    |  (3, 51)   
  a = 20   b = 68   p = 79    | 75    |  (6, 76)   
  a = 21   b = 68   p = 79    | 70    |  (1, 13)   
  a = 22   b = 68   p = 79    | 79    |  (4, 46)   
  a = 23   b = 68   p = 79    | 68    |  (1, 31)   
  a = 24   b = 68   p = 79    | 81    |  (2, 19)   
  a = 25   b = 68   p = 79    | 79    |   (5, 9)   
  a = 26   b = 68   p = 79    | 70    |   (1, 4)   
  a = 27   b = 68   p = 79    | 64    |  (2, 50)   
  a = 28   b = 68   p = 79    | 82    |  (1, 52)   
  a = 29   b = 68   p = 79    | 90    | Not Cyclic 
  a = 30   b = 68   p = 79    | 72    | Not Cyclic 
  a = 31   b = 68   p = 79    | 80    | Not Cyclic 
  a = 32   b = 68   p = 79    | 79    |  (1, 38)   
  a = 33   b = 68   p = 79    | 95    |  (3, 73)   
  a = 34   b = 68   p = 79    | 67    |  (2, 67)   
  a = 35   b = 68   p = 79    | 90    | Not Cyclic 
  a = 36   b = 68   p = 79    | 72    | Not Cyclic 
  a = 37   b = 68   p = 79    | 68    |  (7, 65)   
  a = 38   b = 68   p = 79    | 72    | Not Cyclic 
  a = 39   b = 68   p = 79    | 82    |  (4, 50)   
  a = 40   b = 68   p = 79    | 72    | Not Cyclic 
  a = 41   b = 68   p = 79    | 70    |  (1, 49)   
  a = 42   b = 68   p = 79    | 94    |  (6, 46)   
  a = 43   b = 68   p = 79    | 70    |   (2, 2)   
  a = 44   b = 68   p = 79    | 91    |  (5, 52)   
  a = 45   b = 68   p = 79    | 70    |  (3, 25)   
  a = 46   b = 68   p = 79    | 80    | Not Cyclic 
  a = 47   b = 68   p = 79    | 91    |  (6, 31)   
  a = 48   b = 68   p = 79    | 95    |  (1, 65)   
  a = 49   b = 68   p = 79    | 70    |  (14, 38)  
  a = 50   b = 68   p = 79    | 91    |  (1, 44)   
  a = 51   b = 68   p = 79    | 72    | Not Cyclic 
  a = 52   b = 68   p = 79    | 97    |  (1, 11)   
  a = 53   b = 68   p = 79    | 67    |  (6, 72)   
  a = 54   b = 68   p = 79    | 91    |  (1, 26)   
  a = 55   b = 68   p = 79    | 68    |  (1, 19)   
  a = 56   b = 68   p = 79    | 81    |  (1, 21)   
  a = 57   b = 68   p = 79    | 91    |  (2, 36)   
  a = 58   b = 68   p = 79    | 72    | Not Cyclic 
  a = 59   b = 68   p = 79    | 80    |  (2, 73)   
  a = 60   b = 68   p = 79    | 68    |  (2, 65)   
  a = 61   b = 68   p = 79    | 68    |  (1, 50)   
  a = 62   b = 68   p = 79    | 89    |  (1, 62)   
  a = 63   b = 68   p = 79    | 64    |  (7, 46)   
  a = 64   b = 68   p = 79    | 91    |  (2, 21)   
  a = 65   b = 68   p = 79    | 75    |  (1, 23)   
  a = 66   b = 68   p = 79    | 88    |  (17, 40)  
  a = 67   b = 68   p = 79    | 72    | Not Cyclic 
  a = 68   b = 68   p = 79    | 64    |  (3, 46)   
  a = 69   b = 68   p = 79    | 81    |  (4, 31)   
  a = 70   b = 68   p = 79    | 72    | Not Cyclic 
  a = 71   b = 68   p = 79    | 67    |  (4, 10)   
  a = 72   b = 68   p = 79    | 72    | Not Cyclic 
  a = 73   b = 68   p = 79    | 75    |  (5, 20)   
  a = 74   b = 68   p = 79    | 70    |  (11, 1)   
  a = 75   b = 68   p = 79    | 88    |  (9, 45)   
  a = 76   b = 68   p = 79    | 72    | Not Cyclic 
  a = 77   b = 68   p = 79    | 95    |  (2, 25)   
  a = 78   b = 68   p = 79    | 81    |  (3, 31)   
  a = 0    b = 69   p = 79    | 76    | Not Cyclic 
  a = 1    b = 69   p = 79    | 84    |  (16, 51)  
  a = 2    b = 69   p = 79    | 88    |  (1, 25)   
  a = 3    b = 69   p = 79    | 87    |  (1, 51)   
  a = 4    b = 69   p = 79    | 69    |  (6, 25)   
  a = 5    b = 69   p = 79    | 74    |  (3, 36)   
  a = 6    b = 69   p = 79    | 74    |  (8, 32)   
  a = 7    b = 69   p = 79    | 87    |  (6, 13)   
  a = 8    b = 69   p = 79    | 94    |  (5, 32)   
  a = 9    b = 69   p = 79    | 92    | Not Cyclic 
  a = 10   b = 69   p = 79    | 72    |   (1, 1)   
  a = 11   b = 69   p = 79    | 90    |  (10, 51)  
  a = 12   b = 69   p = 79    | 80    | Not Cyclic 
  a = 13   b = 69   p = 79    | 69    |   (1, 2)   
  a = 14   b = 69   p = 79    | 74    |  (4, 49)   
  a = 15   b = 69   p = 79    | 68    |   (9, 8)   
  a = 16   b = 69   p = 79    | 90    |  (3, 67)   
  a = 17   b = 69   p = 79    | 83    |  (1, 18)   
  a = 18   b = 69   p = 79    | 79    |  (1, 76)   
  a = 19   b = 69   p = 79    | 79    |  (1, 22)   
  a = 20   b = 69   p = 79    | 74    |  (2, 65)   
  a = 21   b = 69   p = 79    | 92    | Not Cyclic 
  a = 22   b = 69   p = 79    | 76    |  (5, 64)   
  a = 23   b = 69   p = 79    | 84    |  (11, 51)  
  a = 24   b = 69   p = 79    | 76    |  (2, 21)   
  a = 25   b = 69   p = 79    | 76    |  (3, 31)   
  a = 26   b = 69   p = 79    | 94    |  (2, 45)   
  a = 27   b = 69   p = 79    | 82    |  (1, 52)   
  a = 28   b = 69   p = 79    | 80    | Not Cyclic 
  a = 29   b = 69   p = 79    | 68    |  (1, 40)   
  a = 30   b = 69   p = 79    | 66    |  (10, 42)  
  a = 31   b = 69   p = 79    | 88    |  (3, 49)   
  a = 32   b = 69   p = 79    | 76    |  (19, 49)  
  a = 33   b = 69   p = 79    | 73    |   (2, 8)   
  a = 34   b = 69   p = 79    | 72    |  (4, 36)   
  a = 35   b = 69   p = 79    | 68    |  (1, 42)   
  a = 36   b = 69   p = 79    | 74    |  (3, 21)   
  a = 37   b = 69   p = 79    | 79    |  (2, 25)   
  a = 38   b = 69   p = 79    | 74    |  (3, 62)   
  a = 39   b = 69   p = 79    | 80    | Not Cyclic 
  a = 40   b = 69   p = 79    | 85    |  (1, 49)   
  a = 41   b = 69   p = 79    | 64    |  (1, 36)   
  a = 42   b = 69   p = 79    | 79    |   (3, 8)   
  a = 43   b = 69   p = 79    | 64    |   (7, 9)   
  a = 44   b = 69   p = 79    | 90    | Not Cyclic 
  a = 45   b = 69   p = 79    | 94    |   (7, 4)   
  a = 46   b = 69   p = 79    | 88    |  (2, 13)   
  a = 47   b = 69   p = 79    | 84    | Not Cyclic 
  a = 48   b = 69   p = 79    | 73    |  (4, 76)   
  a = 49   b = 69   p = 79    | 92    | Not Cyclic 
  a = 50   b = 69   p = 79    | 90    | Not Cyclic 
  a = 51   b = 69   p = 79    | 85    |  (2, 10)   
  a = 52   b = 69   p = 79    | 90    |  (2, 55)   
  a = 53   b = 69   p = 79    | 72    |  (1, 26)   
  a = 54   b = 69   p = 79    | 84    | Not Cyclic 
  a = 55   b = 69   p = 79    | 84    |  (1, 21)   
  a = 56   b = 69   p = 79    | 76    |   (8, 9)   
  a = 57   b = 69   p = 79    | 84    | Not Cyclic 
  a = 58   b = 69   p = 79    | 66    |  (1, 72)   
  a = 59   b = 69   p = 79    | 74    |  (1, 45)   
  a = 60   b = 69   p = 79    | 79    |  (1, 50)   
  a = 61   b = 69   p = 79    | 79    |  (1, 62)   
  a = 62   b = 69   p = 79    | 69    |  (4, 67)   
  a = 63   b = 69   p = 79    | 82    |  (2, 19)   
  a = 64   b = 69   p = 79    | 90    | Not Cyclic 
  a = 65   b = 69   p = 79    | 74    |  (2, 72)   
  a = 66   b = 69   p = 79    | 83    |  (2, 50)   
  a = 67   b = 69   p = 79    | 85    |  (5, 23)   
  a = 68   b = 69   p = 79    | 82    |  (2, 23)   
  a = 69   b = 69   p = 79    | 87    |  (5, 67)   
  a = 70   b = 69   p = 79    | 66    |  (4, 52)   
  a = 71   b = 69   p = 79    | 72    |  (1, 46)   
  a = 72   b = 69   p = 79    | 72    |  (4, 42)   
  a = 73   b = 69   p = 79    | 74    |  (16, 44)  
  a = 74   b = 69   p = 79    | 64    |   (3, 9)   
  a = 75   b = 69   p = 79    | 83    |  (3, 20)   
  a = 76   b = 69   p = 79    | 72    |  (4, 11)   
  a = 77   b = 69   p = 79    | 73    |  (2, 51)   
  a = 78   b = 69   p = 79    | 76    |  (4, 45)   
  a = 0    b = 70   p = 79    | 67    |  (3, 52)   
  a = 1    b = 70   p = 79    | 75    |  (1, 25)   
  a = 2    b = 70   p = 79    | 72    | Not Cyclic 
  a = 3    b = 70   p = 79    | 68    |  (4, 64)   
  a = 4    b = 70   p = 79    | 68    |  (7, 21)   
  a = 5    b = 70   p = 79    | 70    |  (1, 32)   
  a = 6    b = 70   p = 79    | 70    |  (2, 13)   
  a = 7    b = 70   p = 79    | 68    |  (2, 31)   
  a = 8    b = 70   p = 79    | 80    | Not Cyclic 
  a = 9    b = 70   p = 79    | 79    |   (1, 1)   
  a = 10   b = 70   p = 79    | 94    |  (7, 76)   
  a = 11   b = 70   p = 79    | 89    |  (2, 10)   
  a = 12   b = 70   p = 79    | 81    |   (1, 2)   
  a = 13   b = 70   p = 79    | 68    |   (2, 5)   
  a = 14   b = 70   p = 79    | 70    |  (4, 36)   
  a = 15   b = 70   p = 79    | 64    |  (11, 67)  
  a = 16   b = 70   p = 79    | 89    |  (1, 18)   
  a = 17   b = 70   p = 79    | 81    |  (1, 76)   
  a = 18   b = 70   p = 79    | 91    |  (1, 22)   
  a = 19   b = 70   p = 79    | 91    |  (4, 62)   
  a = 20   b = 70   p = 79    | 72    | Not Cyclic 
  a = 21   b = 70   p = 79    | 79    |  (1, 31)   
  a = 22   b = 70   p = 79    | 70    |  (3, 20)   
  a = 23   b = 70   p = 79    | 75    |  (2, 19)   
  a = 24   b = 70   p = 79    | 80    |  (3, 13)   
  a = 25   b = 70   p = 79    | 70    |  (2, 72)   
  a = 26   b = 70   p = 79    | 80    | Not Cyclic 
  a = 27   b = 70   p = 79    | 88    |  (1, 16)   
  a = 28   b = 70   p = 79    | 81    |  (1, 40)   
  a = 29   b = 70   p = 79    | 64    |  (1, 10)   
  a = 30   b = 70   p = 79    | 91    |  (1, 38)   
  a = 31   b = 70   p = 79    | 72    | Not Cyclic 
  a = 32   b = 70   p = 79    | 70    |  (7, 20)   
  a = 33   b = 70   p = 79    | 82    |  (2, 67)   
  a = 34   b = 70   p = 79    | 95    |  (1, 42)   
  a = 35   b = 70   p = 79    | 64    |  (6, 38)   
  a = 36   b = 70   p = 79    | 70    |  (10, 18)  
  a = 37   b = 70   p = 79    | 90    | Not Cyclic 
  a = 38   b = 70   p = 79    | 70    |  (15, 67)  
  a = 39   b = 70   p = 79    | 81    |  (1, 49)   
  a = 40   b = 70   p = 79    | 72    | Not Cyclic 
  a = 41   b = 70   p = 79    | 72    | Not Cyclic 
  a = 42   b = 70   p = 79    | 91    |   (2, 2)   
  a = 43   b = 70   p = 79    | 72    | Not Cyclic 
  a = 44   b = 70   p = 79    | 97    |  (1, 73)   
  a = 45   b = 70   p = 79    | 80    | Not Cyclic 
  a = 46   b = 70   p = 79    | 72    | Not Cyclic 
  a = 47   b = 70   p = 79    | 67    |   (3, 1)   
  a = 48   b = 70   p = 79    | 82    |  (1, 44)   
  a = 49   b = 70   p = 79    | 79    |  (2, 52)   
  a = 50   b = 70   p = 79    | 97    |  (1, 11)   
  a = 51   b = 70   p = 79    | 72    | Not Cyclic 
  a = 52   b = 70   p = 79    | 89    |  (1, 26)   
  a = 53   b = 70   p = 79    | 95    |  (1, 19)   
  a = 54   b = 70   p = 79    | 67    |  (1, 21)   
  a = 55   b = 70   p = 79    | 75    |  (10, 44)  
  a = 56   b = 70   p = 79    | 80    |  (2, 36)   
  a = 57   b = 70   p = 79    | 67    |  (1, 72)   
  a = 58   b = 70   p = 79    | 91    |  (1, 45)   
  a = 59   b = 70   p = 79    | 70    |  (7, 73)   
  a = 60   b = 70   p = 79    | 90    | Not Cyclic 
  a = 61   b = 70   p = 79    | 90    | Not Cyclic 
  a = 62   b = 70   p = 79    | 68    |  (2, 26)   
  a = 63   b = 70   p = 79    | 88    |  (1, 23)   
  a = 64   b = 70   p = 79    | 97    |  (3, 62)   
  a = 65   b = 70   p = 79    | 72    | Not Cyclic 
  a = 66   b = 70   p = 79    | 81    |  (2, 62)   
  a = 67   b = 70   p = 79    | 72    | Not Cyclic 
  a = 68   b = 70   p = 79    | 88    |  (7, 40)   
  a = 69   b = 70   p = 79    | 68    |  (13, 2)   
  a = 70   b = 70   p = 79    | 91    |  (1, 46)   
  a = 71   b = 70   p = 79    | 95    |  (4, 55)   
  a = 72   b = 70   p = 79    | 94    |   (5, 9)   
  a = 73   b = 70   p = 79    | 72    | Not Cyclic 
  a = 74   b = 70   p = 79    | 72    | Not Cyclic 
  a = 75   b = 70   p = 79    | 81    |  (1, 64)   
  a = 76   b = 70   p = 79    | 94    |  (3, 76)   
  a = 77   b = 70   p = 79    | 82    |  (8, 31)   
  a = 78   b = 70   p = 79    | 80    |  (4, 50)   
  a = 0    b = 71   p = 79    | 76    | Not Cyclic 
  a = 1    b = 71   p = 79    | 74    |   (2, 9)   
  a = 2    b = 71   p = 79    | 72    |   (4, 8)   
  a = 3    b = 71   p = 79    | 68    |  (11, 31)  
  a = 4    b = 71   p = 79    | 74    |  (2, 18)   
  a = 5    b = 71   p = 79    | 76    |  (2, 22)   
  a = 6    b = 71   p = 79    | 66    |   (9, 8)   
  a = 7    b = 71   p = 79    | 68    |  (4, 20)   
  a = 8    b = 71   p = 79    | 85    |   (1, 1)   
  a = 9    b = 71   p = 79    | 94    |   (1, 9)   
  a = 10   b = 71   p = 79    | 90    | Not Cyclic 
  a = 11   b = 71   p = 79    | 84    |   (1, 2)   
  a = 12   b = 71   p = 79    | 79    |  (1, 20)   
  a = 13   b = 71   p = 79    | 74    |  (2, 42)   
  a = 14   b = 71   p = 79    | 66    |  (6, 23)   
  a = 15   b = 71   p = 79    | 83    |  (1, 18)   
  a = 16   b = 71   p = 79    | 84    |  (3, 64)   
  a = 17   b = 71   p = 79    | 74    |  (1, 22)   
  a = 18   b = 71   p = 79    | 90    |  (1, 13)   
  a = 19   b = 71   p = 79    | 90    |  (3, 32)   
  a = 20   b = 71   p = 79    | 92    | Not Cyclic 
  a = 21   b = 71   p = 79    | 94    |   (5, 8)   
  a = 22   b = 71   p = 79    | 88    |  (2, 26)   
  a = 23   b = 71   p = 79    | 74    |   (1, 4)   
  a = 24   b = 71   p = 79    | 64    |  (4, 51)   
  a = 25   b = 71   p = 79    | 88    |  (1, 52)   
  a = 26   b = 71   p = 79    | 85    |  (1, 16)   
  a = 27   b = 71   p = 79    | 76    |  (1, 40)   
  a = 28   b = 71   p = 79    | 79    |  (1, 10)   
  a = 29   b = 71   p = 79    | 83    |  (1, 38)   
  a = 30   b = 71   p = 79    | 72    |  (1, 55)   
  a = 31   b = 71   p = 79    | 72    |  (10, 65)  
  a = 32   b = 71   p = 79    | 88    |   (2, 8)   
  a = 33   b = 71   p = 79    | 87    |  (1, 42)   
  a = 34   b = 71   p = 79    | 80    | Not Cyclic 
  a = 35   b = 71   p = 79    | 83    |  (3, 19)   
  a = 36   b = 71   p = 79    | 76    |  (9, 52)   
  a = 37   b = 71   p = 79    | 82    |  (4, 21)   
  a = 38   b = 71   p = 79    | 76    |  (1, 49)   
  a = 39   b = 71   p = 79    | 79    |  (1, 36)   
  a = 40   b = 71   p = 79    | 79    |   (2, 1)   
  a = 41   b = 71   p = 79    | 84    | Not Cyclic 
  a = 42   b = 71   p = 79    | 90    |  (7, 32)   
  a = 43   b = 71   p = 79    | 84    | Not Cyclic 
  a = 44   b = 71   p = 79    | 69    |  (2, 76)   
  a = 45   b = 71   p = 79    | 85    |  (1, 65)   
  a = 46   b = 71   p = 79    | 72    |  (16, 20)  
  a = 47   b = 71   p = 79    | 73    |  (1, 44)   
  a = 48   b = 71   p = 79    | 87    |  (3, 20)   
  a = 49   b = 71   p = 79    | 94    |  (1, 11)   
  a = 50   b = 71   p = 79    | 69    |  (2, 10)   
  a = 51   b = 71   p = 79    | 79    |  (1, 26)   
  a = 52   b = 71   p = 79    | 84    |  (1, 19)   
  a = 53   b = 71   p = 79    | 80    | Not Cyclic 
  a = 54   b = 71   p = 79    | 73    |  (3, 55)   
  a = 55   b = 71   p = 79    | 74    |  (2, 49)   
  a = 56   b = 71   p = 79    | 64    |   (5, 9)   
  a = 57   b = 71   p = 79    | 73    |  (1, 45)   
  a = 58   b = 71   p = 79    | 72    |  (1, 50)   
  a = 59   b = 71   p = 79    | 66    |  (1, 62)   
  a = 60   b = 71   p = 79    | 82    |  (7, 26)   
  a = 61   b = 71   p = 79    | 82    |  (3, 26)   
  a = 62   b = 71   p = 79    | 74    |  (1, 23)   
  a = 63   b = 71   p = 79    | 76    |  (3, 45)   
  a = 64   b = 71   p = 79    | 69    |  (2, 72)   
  a = 65   b = 71   p = 79    | 92    | Not Cyclic 
  a = 66   b = 71   p = 79    | 74    |  (5, 62)   
  a = 67   b = 71   p = 79    | 79    |  (2, 23)   
  a = 68   b = 71   p = 79    | 76    |  (8, 10)   
  a = 69   b = 71   p = 79    | 68    |  (1, 46)   
  a = 70   b = 71   p = 79    | 72    |  (13, 52)  
  a = 71   b = 71   p = 79    | 80    | Not Cyclic 
  a = 72   b = 71   p = 79    | 90    | Not Cyclic 
  a = 73   b = 71   p = 79    | 92    | Not Cyclic 
  a = 74   b = 71   p = 79    | 84    | Not Cyclic 
  a = 75   b = 71   p = 79    | 74    |  (4, 44)   
  a = 76   b = 71   p = 79    | 90    | Not Cyclic 
  a = 77   b = 71   p = 79    | 87    |  (3, 31)   
  a = 78   b = 71   p = 79    | 64    |  (6, 26)   
  a = 0    b = 72   p = 79    | 93    |  (1, 51)   
  a = 1    b = 72   p = 79    | 88    | Not Cyclic 
  a = 2    b = 72   p = 79    | 88    | Not Cyclic 
  a = 3    b = 72   p = 79    | 70    |  (28, 64)  
  a = 4    b = 72   p = 79    | 85    |  (0, 25)   
  a = 5    b = 72   p = 79    | 81    | Not Cyclic 
  a = 6    b = 72   p = 79    | 88    | Not Cyclic 
  a = 7    b = 72   p = 79    | 70    |   (1, 1)   
  a = 8    b = 72   p = 79    | 88    | Not Cyclic 
  a = 9    b = 72   p = 79    | 90    |  (5, 20)   
  a = 10   b = 72   p = 79    | 69    |  (0, 25)   
  a = 11   b = 72   p = 79    | 92    |  (0, 25)   
  a = 12   b = 72   p = 79    | 92    |  (0, 25)   
  a = 13   b = 72   p = 79    | 85    |  (0, 25)   
  a = 14   b = 72   p = 79    | 88    | Not Cyclic 
  a = 15   b = 72   p = 79    | 72    | Not Cyclic 
  a = 16   b = 72   p = 79    | 92    |  (0, 25)   
  a = 17   b = 72   p = 79    | 80    |  (5, 19)   
  a = 18   b = 72   p = 79    | 63    |  (0, 25)   
  a = 19   b = 72   p = 79    | 63    |  (0, 25)   
  a = 20   b = 72   p = 79    | 90    |  (17, 36)  
  a = 21   b = 72   p = 79    | 90    |  (7, 76)   
  a = 22   b = 72   p = 79    | 80    | Not Cyclic 
  a = 23   b = 72   p = 79    | 88    | Not Cyclic 
  a = 24   b = 72   p = 79    | 90    |  (25, 55)  
  a = 25   b = 72   p = 79    | 80    | Not Cyclic 
  a = 26   b = 72   p = 79    | 88    | Not Cyclic 
  a = 27   b = 72   p = 79    | 79    |  (0, 25)   
  a = 28   b = 72   p = 79    | 92    |  (0, 25)   
  a = 29   b = 72   p = 79    | 72    | Not Cyclic 
  a = 30   b = 72   p = 79    | 93    |  (4, 16)   
